號碼,選區,選民人數,投票率,黃潤達,尹兆堅,高志輝,周永勤,鄭松泰,鄺官穩,田北辰,何君堯,梁志祥,郭家麒,黃浩銘,李卓人,黃俊傑,麥美娟,馮檢基,陳恒鑌,張慧晶,呂智恆,湯詠芝,朱凱廸,總有效,無效,非建制,建制,得票率差,黃潤達%,尹兆堅%,高志輝%,周永勤%,鄭松泰%,鄺官穩%,田北辰%,何君堯%,梁志祥%,郭家麒%,黃浩銘%,李卓人%,黃俊傑%,麥美娟%,馮檢基%,陳恒鑌%,張慧晶%,呂智恆%,湯詠芝%,朱凱廸%
M32*,新田,9043,49.35%,50.9363714531384,223.687016337059,1,12.98796216681,272.659501289768,3.99656061908856,508.319002579536,743.22098022356,772.069647463457,387.458297506449,188.78331900258,170.79535683577,50.9432502149613,128.834909716251,116.871023215821,183.797076526225,14.98796216681,10.9810834049871,14.9862424763543,538.349957007739,4395.66552020636,66.9260533104041,46.10%,53.56%,-7.46%,1.16%,5.09%,0.02%,0.30%,6.20%,0.09%,11.56%,16.91%,17.56%,8.81%,4.29%,3.89%,1.16%,2.93%,2.66%,4.18%,0.34%,0.25%,0.34%,12.25%
M33*,錦田,5620,52.78%,23.2511635924841,99.7862437510774,1.93759696604034,6.78158938114118,233.480434407861,1.93759696604034,676.221341148078,310.984313049474,221.854852611619,182.134114807792,110.443027064299,119.162213411481,27.1263575245647,116.25581796242,60.0655059472505,95.9110498189967,6.78158938114118,4.84399241510084,11.625581796242,616.155835200828,2926.74021720393,39.7207378038269,50.84%,48.92%,1.92%,0.79%,3.41%,0.07%,0.23%,7.98%,0.07%,23.10%,10.63%,7.58%,6.22%,3.77%,4.07%,0.93%,3.97%,2.05%,3.28%,0.23%,0.17%,0.40%,21.05%
M34*,八鄉北,6198,50.36%,37.7240131011895,88.1072228926047,2.06033442509912,3.21117048784692,211.270298224444,3.06033442509912,248.056714359593,722.683675228409,734.908291673849,124.671435959317,90.4390622306499,83.7105671435959,23.8446819513877,66.6200655059473,50.8703671780728,57.9865540424065,3.21117048784692,2.1508360627478,7.36200655059473,508.18634718152,3070.13514911222,51.236855714532,40.01%,59.89%,-19.88%,1.23%,2.87%,0.07%,0.10%,6.88%,0.10%,8.08%,23.54%,23.94%,4.06%,2.95%,2.73%,0.78%,2.17%,1.66%,1.89%,0.10%,0.07%,0.24%,16.55%
M35*,八鄉南,9552,56.86%,28.0248233063265,172.106533356318,3.00206860886054,10.0072401310119,300.249267367695,4.00206860886054,481.721944492329,1157.33201172212,957.236855714532,278.194449232891,151.117910705051,161.127219444923,35.0289605240476,118.124116531632,97.0641268746768,100.102396138597,12.0072401310119,4.00517152215135,10.0124116531632,1256.65781761765,5337.12463368385,94.0424064816411,46.72%,53.05%,-6.33%,0.53%,3.22%,0.06%,0.19%,5.63%,0.07%,9.03%,21.68%,17.94%,5.21%,2.83%,3.02%,0.66%,2.21%,1.82%,1.88%,0.22%,0.08%,0.19%,23.55%
S01*,葵興,9745,57.26%,700.781682346431,334.073325954621,7.00138350857775,11.0013835085778,428.23381294964,5.00415052573326,513.11068068622,243.060874377421,73.0221361372441,380.070558937465,287.11068068622,256.103763143332,83.0387382401771,496.235196458218,242.033204205866,714.345877144438,11.0069175428888,7.00138350857775,26.0179856115108,642.206142778085,5460.45987825125,119.06779192031,62.02%,37.78%,24.25%,12.83%,6.12%,0.13%,0.20%,7.84%,0.09%,9.40%,4.45%,1.34%,6.96%,5.26%,4.69%,1.52%,9.09%,4.43%,13.08%,0.20%,0.13%,0.48%,11.76%
S02*,葵盛東邨,10985,54.74%,1328.4150269589,269.221343043204,3.84601918633149,6.92283453539668,429.984945031861,7.69203837266298,274.605769904068,211.531055248232,63.0747146558364,180.76290175758,231.530355017156,204.608220712835,65.3823261676353,370.756249562356,94.6120719837547,1603.02079686296,18.4608920943912,6.92283453539668,21.5377074434563,478.444786779637,5871.33288985365,141.533506056999,56.40%,43.29%,13.11%,22.63%,4.59%,0.07%,0.12%,7.32%,0.13%,4.68%,3.60%,1.07%,3.08%,3.94%,3.48%,1.11%,6.31%,1.61%,27.30%,0.31%,0.12%,0.37%,8.15%
S03*,上大窩口,7227,58.07%,233.182138284251,572.5576184379,1.50416133162612,2.30249679897567,295.803777208707,0.20166453265045,249.644686299616,174.217349551857,46.1258002560819,174.636363636364,151.720550576184,156.779769526248,49.3857234314981,1024.55473751601,81.3098591549296,439.626120358515,9.71414852752881,6.50416133162612,27.2432778489117,396.920294494238,4093.93469910372,103.124839948784,52.42%,47.34%,5.08%,5.70%,13.99%,0.04%,0.06%,7.23%,0.00%,6.10%,4.26%,1.13%,4.27%,3.71%,3.83%,1.21%,25.03%,1.99%,10.74%,0.24%,0.16%,0.67%,9.70%
S04*,下大窩口,8427,54.61%,304.817861715749,602.4423815621,4.49583866837388,2.69750320102433,328.196222791293,1.79833546734955,264.355313700384,126.782650448143,27.8741997439181,255.363636363636,238.279449423816,194.220230473752,92.6142765685019,923.445262483995,118.69014084507,460.373879641485,15.2858514724712,4.49583866837388,46.7567221510884,454.079705505762,4467.06530089629,134.875160051216,59.10%,40.56%,18.54%,6.82%,13.49%,0.10%,0.06%,7.35%,0.04%,5.92%,2.84%,0.62%,5.72%,5.33%,4.35%,2.07%,20.67%,2.66%,10.31%,0.34%,0.10%,1.05%,10.17%
S05,葵涌邨北,8717,55.52%,1735,110,3,5,391,2,192,153,60,131,181,141,65,306,45,842,15,2,27,345,4751,89,66.79%,32.90%,33.89%,36.52%,2.32%,0.06%,0.11%,8.23%,0.04%,4.04%,3.22%,1.26%,2.76%,3.81%,2.97%,1.37%,6.44%,0.95%,17.72%,0.32%,0.04%,0.57%,7.26%
S06*,葵涌邨南,9718,54.05%,1560.21831765357,124.926674045379,3.99861649142225,1.99861649142225,381.76618705036,4.99584947426674,292.88931931378,318.939125622579,72.977863862756,146.929441062535,201.88931931378,153.896236856669,62.9612617598229,451.764803541782,55.9667957941339,914.654122855562,15.9930824571112,1.99861649142225,21.9820143884892,366.793857221915,5157.54012174876,94.9322080796901,59.71%,39.98%,19.72%,30.25%,2.42%,0.08%,0.04%,7.40%,0.10%,5.68%,6.18%,1.41%,2.85%,3.91%,2.98%,1.22%,8.76%,1.09%,17.73%,0.31%,0.04%,0.43%,7.11%
S07*,石蔭,11881,55.94%,296.51603656647,1454.80546947629,3.04849705608925,4.09699411217849,519.694607995042,3.12124264022312,398.081577316393,135.849705608925,49.9883792996591,238.849705608925,262.795398202665,223.425859931825,92.449101332507,301.686783390146,105.770142547258,1767.04493337465,11.4607220328478,8.16973969631236,31.581964673071,598.894406569569,6507.33126743105,139.006817477533,58.90%,40.92%,17.98%,4.56%,22.36%,0.05%,0.06%,7.99%,0.05%,6.12%,2.09%,0.77%,3.67%,4.04%,3.43%,1.42%,4.64%,1.63%,27.15%,0.18%,0.13%,0.49%,9.20%
S08,安蔭,9453,54.46%,186,709,4,8,376,4,333,88,48,241,235,247,59,1392,82,451,28,8,36,442,4977,171,52.66%,46.78%,5.89%,3.74%,14.25%,0.08%,0.16%,7.55%,0.08%,6.69%,1.77%,0.96%,4.84%,4.72%,4.96%,1.19%,27.97%,1.65%,9.06%,0.56%,0.16%,0.72%,8.88%
S09*,石籬南,11343,54.78%,153.17629535466,1256.29606649189,7.90956912365782,5.43050425357216,490.757317252471,3.71876118245008,1348.34780648678,216.748778893415,66.4653267707007,227.137412887159,267.099036867308,245.259827549938,67.9413742170871,244.08036616233,103.592703670445,748.24651333751,22.2533154338734,11.6283303061079,26.916497888482,562.355578954035,6075.36138308387,138.124151151665,56.16%,43.47%,12.69%,2.52%,20.68%,0.13%,0.09%,8.08%,0.06%,22.19%,3.57%,1.09%,3.74%,4.40%,4.04%,1.12%,4.02%,1.71%,12.32%,0.37%,0.19%,0.44%,9.26%
S10*,石籬北,9931,52.18%,111.558335915711,1453.33583823985,1.53873566780291,3.07747133560583,466.236907344283,3.84683916950728,351.601100092966,153.873566780291,63.0881623799194,153.873566780291,183.878912302448,203.882475983886,77.7061512240471,243.889603346762,56.1638518748063,1080.19243879764,14.6179888441277,5.3855748373102,18.464828013635,440.847768825535,5087.06011775643,95.4016114037806,62.34%,37.37%,24.97%,2.19%,28.57%,0.03%,0.06%,9.17%,0.08%,6.91%,3.02%,1.24%,3.02%,3.61%,4.01%,1.53%,4.79%,1.10%,21.23%,0.29%,0.11%,0.36%,8.67%
S11*,大白田,9392,56.96%,131.246203904555,706.317787418655,6.058568329718,7.11713665943601,409.746203904555,1.14642082429501,314.382863340564,124.8568329718,35.4013015184382,294.8568329718,230.998915401302,214.760303687636,77.9577006507592,186.283080260304,119.137744034707,1857.11496746204,7.55639913232104,4.20498915401302,12.7028199566161,533.779826464208,5275.62689804772,73.6312364425163,51.86%,48.00%,3.85%,2.49%,13.39%,0.11%,0.13%,7.77%,0.02%,5.96%,2.37%,0.67%,5.59%,4.38%,4.07%,1.48%,3.53%,2.26%,35.20%,0.14%,0.08%,0.24%,10.12%
S12,葵芳,10524,56.93%,1552,238,8,5,492,6,389,382,66,279,213,245,95,259,119,811,17,8,26,500,5710,281,65.97%,33.73%,32.24%,27.18%,4.17%,0.14%,0.09%,8.62%,0.11%,6.81%,6.69%,1.16%,4.89%,3.73%,4.29%,1.66%,4.54%,2.08%,14.20%,0.30%,0.14%,0.46%,8.76%
S13*,華麗,9248,55.36%,131.503128258603,406.244838373306,1.44462982273201,16.2778936392075,346.56496350365,3.1667361835245,642.586652763295,242.671115745568,89.0568300312826,516.282481751825,256.227737226277,248.671532846715,58.9456725755996,472.060166840459,208.335557872784,744.401147028154,18.11157455683,10.6113660062565,21.333889468196,602.122419186653,5036.62033368092,82.8361835245047,55.73%,43.91%,11.82%,2.61%,8.07%,0.03%,0.32%,6.88%,0.06%,12.76%,4.82%,1.77%,10.25%,5.09%,4.94%,1.17%,9.37%,4.14%,14.78%,0.36%,0.21%,0.42%,11.95%
S14,荔華,7844,59.36%,110,385,4,13,360,2,433,137,83,369,219,260,69,192,250,1103,12,7,27,563,4598,58,56.96%,42.78%,14.18%,2.39%,8.37%,0.09%,0.28%,7.83%,0.04%,9.42%,2.98%,1.81%,8.03%,4.76%,5.65%,1.50%,4.18%,5.44%,23.99%,0.26%,0.15%,0.59%,12.24%
