號碼,選區,選民人數,投票率,吳文遠,何志光,毛孟靜,梁美芬,譚國僑,朱韶洪,黃毓民,黃碧雲,林依麗,蔣麗芸,關新偉,劉小麗,游蕙禎,李泳漢,狄志遠,總有效,無效,非建制,建制,其他,得票率差,吳文遠%,何志光%,毛孟靜%,梁美芬%,譚國僑%,朱韶洪%,黃毓民%,黃碧雲%,林依麗%,蔣麗芸%,關新偉%,劉小麗%,游蕙禎%,李泳漢%,狄志遠%
E16,油麻地北,5326,55.03%,75,7,353,445,195,5,236,266,6,466,9,494,205,8,111,2881,50,64.21%,31.93%,3.85%,32.28%,2.60%,0.24%,12.25%,15.45%,6.77%,0.17%,8.19%,9.23%,0.21%,16.17%,0.31%,17.15%,7.12%,0.28%,3.85%
E17,尖東及京士柏,3611,63.56%,37,1,308,390,42,8,106,248,2,433,10,322,148,2,214,2271,24,53.90%,36.68%,9.42%,17.22%,1.63%,0.04%,13.56%,17.17%,1.85%,0.35%,4.67%,10.92%,0.09%,19.07%,0.44%,14.18%,6.52%,0.09%,9.42%
E18*,尖沙咀中,5551,48.02%,72.9106265445455,7.24277747131247,385.315761473823,286.238753218374,34.7653318622998,9.65703662841662,201.832065533907,265.568507281457,16.4169622683083,708.224066675157,8.67390161267792,347.170466791578,176.723770300024,7.24277747131247,100.46383024321,2628.4466353764,37.3013036300181,58.01%,38.16%,3.82%,19.85%,2.77%,0.28%,14.66%,10.89%,1.32%,0.37%,7.68%,10.10%,0.62%,26.94%,0.33%,13.21%,6.72%,0.28%,3.82%
E19*,佐敦北,3880,51.17%,52.6644592173825,7.1473194652162,238.494765313004,148.527108366037,30.4701514043427,7.1473194652162,159.49807648693,208.024613908661,7.52349417391178,576.533299991601,7.92604058565859,291.911573947777,130.532623917369,6.77114475652061,65.546268786139,1938.71825978577,46.4994425863991,58.81%,37.81%,3.38%,21.00%,2.72%,0.37%,12.30%,7.66%,1.57%,0.37%,8.23%,10.73%,0.39%,29.74%,0.41%,15.06%,6.73%,0.35%,3.38%
F01,寶麗,7637,57.64%,125,4,463,681,375,15,387,321,10,783,17,562,373,17,193,4326,76,61.30%,34.23%,4.46%,27.07%,2.89%,0.09%,10.70%,15.74%,8.67%,0.35%,8.95%,7.42%,0.23%,18.10%,0.39%,12.99%,8.62%,0.39%,4.46%
F02,長沙灣,6825,62.90%,130,3,541,655,228,16,429,357,9,620,14,653,351,21,200,4227,66,64.77%,30.49%,4.73%,34.28%,3.08%,0.07%,12.80%,15.50%,5.39%,0.38%,10.15%,8.45%,0.21%,14.67%,0.33%,15.45%,8.30%,0.50%,4.73%
F03,南昌北,5878,53.69%,113,5,310,328,148,12,299,212,6,844,8,410,285,10,108,3098,58,58.42%,38.09%,3.49%,20.34%,3.65%,0.16%,10.01%,10.59%,4.78%,0.39%,9.65%,6.84%,0.19%,27.24%,0.26%,13.23%,9.20%,0.32%,3.49%
F04,石硤尾,10493,55.44%,225,8,343,2104,758,14,425,268,10,428,12,626,286,19,150,5676,141,52.54%,44.82%,2.64%,7.72%,3.96%,0.14%,6.04%,37.07%,13.35%,0.25%,7.49%,4.72%,0.18%,7.54%,0.21%,11.03%,5.04%,0.33%,2.64%
F05,南昌東,6449,56.18%,101,6,365,386,409,14,299,253,11,775,12,483,318,14,102,3548,75,64.06%,33.06%,2.87%,31.00%,2.85%,0.17%,10.29%,10.88%,11.53%,0.39%,8.43%,7.13%,0.31%,21.84%,0.34%,13.61%,8.96%,0.39%,2.87%
F06,南昌南,6452,52.67%,91,8,387,433,135,9,313,328,9,667,14,485,297,7,151,3334,64,62.06%,33.41%,4.53%,28.64%,2.73%,0.24%,11.61%,12.99%,4.05%,0.27%,9.39%,9.84%,0.27%,20.01%,0.42%,14.55%,8.91%,0.21%,4.53%
