號碼,選區,選民人數,投票率,方國珊,林卓廷,廖添誠,陳雲根,梁國雄,張超雄,楊岳橋,麥嘉晉,鄭家富,葛珮帆,侯志強,李梓敬,鄧家彪,范國威,陳玉娥,黃琛喻,李偲嫣,陳志全,梁頌恆,梁金成,容海恩,陳克勤,總有效,無效,非建制,建制,其他,方國珊%,林卓廷%,廖添誠%,陳雲根%,梁國雄%,張超雄%,楊岳橋%,麥嘉晉%,鄭家富%,葛珮帆%,侯志強%,李梓敬%,鄧家彪%,范國威%,陳玉娥%,黃琛喻%,李偲嫣%,陳志全%,梁頌恆%,梁金成%,容海恩%,陳克勤%
Q12,富君,9996,63.02%,937,324,11,216,318,439,581,96,317,831,3,196,244,341,2,14,30,465,401,1,312,156,6235,64,54.80%,28.45%,16.74%,15.03%,5.20%,0.18%,3.46%,5.10%,7.04%,9.32%,1.54%,5.08%,13.33%,0.05%,3.14%,3.91%,5.47%,0.03%,0.22%,0.48%,7.46%,6.43%,0.02%,5.00%,2.50%
Q13,軍寶,6074,73.81%,714,284,4,114,220,421,466,86,128,486,0,151,132,341,3,10,18,382,189,1,196,119,4465,18,57.25%,24.75%,18.01%,15.99%,6.36%,0.09%,2.55%,4.93%,9.43%,10.44%,1.93%,2.87%,10.88%,0.00%,3.38%,2.96%,7.64%,0.07%,0.22%,0.40%,8.56%,4.23%,0.02%,4.39%,2.67%
Q14,南安,9770,69.01%,1002,393,7,267,355,598,684,139,207,802,4,253,304,348,3,11,28,514,346,2,268,153,6688,54,55.70%,27.14%,17.17%,14.98%,5.88%,0.10%,3.99%,5.31%,8.94%,10.23%,2.08%,3.10%,11.99%,0.06%,3.78%,4.55%,5.20%,0.04%,0.16%,0.42%,7.69%,5.17%,0.03%,4.01%,2.29%
Q15*,康景,11712,65.52%,860.241944605206,416.742342345091,12.7233424212103,312.547015164087,400.431729430543,533.172547856621,647.645853525387,90.577538867525,227.527639362942,796.118128745699,5.69899341884305,234.434178189211,291.058216887646,957.669812559632,8.91978953487967,18.1340010802023,33.9060415061471,559.165710667332,415.756669261128,0,559.851363893353,205.042939056604,7587.36579837929,86.8111699392321,59.16%,28.14%,12.70%,11.34%,5.49%,0.17%,4.12%,5.28%,7.03%,8.54%,1.19%,3.00%,10.49%,0.08%,3.09%,3.84%,12.62%,0.12%,0.24%,0.45%,7.37%,5.48%,0.00%,7.38%,2.70%
Q16,翠林,10861,53.95%,472,256,4,262,438,408,490,21,143,364,7,124,306,334,5,18,13,486,455,5,967,182,5760,99,57.20%,34.17%,8.63%,8.19%,4.44%,0.07%,4.55%,7.60%,7.08%,8.51%,0.36%,2.48%,6.32%,0.12%,2.15%,5.31%,5.80%,0.09%,0.31%,0.23%,8.44%,7.90%,0.09%,16.79%,3.16%
Q17*,寶林,11286,52.86%,503.231672484925,252.511266264678,10.745160266582,288.328467153285,458.460171374167,399.361789907966,465.623611551888,33.1309108219613,187.14487464297,609.787845128531,17.0131704220882,145.955093621073,327.727388130752,445.028721040939,7.16344017772136,15.2223103776579,39.3989209774675,515.767692795938,447.715011107585,3.58172008886068,493.381942240559,196.994604887337,5863.27578546493,102.079022532529,59.33%,31.34%,9.33%,8.58%,4.31%,0.18%,4.92%,7.82%,6.81%,7.94%,0.57%,3.19%,10.40%,0.29%,2.49%,5.59%,7.59%,0.12%,0.26%,0.67%,8.80%,7.64%,0.06%,8.41%,3.36%
Q18,欣英,11340,63.87%,749,353,7,259,396,515,671,111,182,808,6,322,300,993,5,11,35,467,365,2,435,209,7201,42,58.52%,29.44%,12.04%,10.40%,4.90%,0.10%,3.60%,5.50%,7.15%,9.32%,1.54%,2.53%,11.22%,0.08%,4.47%,4.17%,13.79%,0.07%,0.15%,0.49%,6.49%,5.07%,0.03%,6.04%,2.90%
Q19*,運亨,10604,71.26%,778.769868109571,372.62428136625,12.466520121745,282.541258031789,338.770375380453,540.143388569496,576.112952316537,124.143895840379,242.687352045993,869.260737233683,1.49086912411228,282.565607034156,252.663003043625,1379.6841393304,5.47260737233683,14.4482583699696,50.86608048698,481.871660466689,336.82516063578,1,353.666892120392,205.754311802503,7503.82921880284,52.2899898545823,60.86%,26.94%,12.20%,10.38%,4.97%,0.17%,3.77%,4.51%,7.20%,7.68%,1.65%,3.23%,11.58%,0.02%,3.77%,3.37%,18.39%,0.07%,0.19%,0.68%,6.42%,4.49%,0.01%,4.71%,2.74%
Q20,景林,12281,55.43%,540,328,10,327,523,394,538,49,185,1334,16,131,411,400,6,21,27,544,461,2,250,133,6630,177,56.15%,34.81%,9.03%,8.14%,4.95%,0.15%,4.93%,7.89%,5.94%,8.11%,0.74%,2.79%,20.12%,0.24%,1.98%,6.20%,6.03%,0.09%,0.32%,0.41%,8.21%,6.95%,0.03%,3.77%,2.01%
Q21,厚德,11651,59.67%,695,316,7,379,500,456,589,55,173,1209,18,184,361,282,5,17,36,546,515,3,273,177,6796,156,55.56%,33.30%,11.14%,10.23%,4.65%,0.10%,5.58%,7.36%,6.71%,8.67%,0.81%,2.55%,17.79%,0.26%,2.71%,5.31%,4.15%,0.07%,0.25%,0.53%,8.03%,7.58%,0.04%,4.02%,2.60%
Q22,富藍,10094,63.32%,810,348,6,245,360,473,645,115,174,1159,8,211,223,300,5,10,28,460,347,0,217,166,6310,82,53.28%,31.97%,14.75%,12.84%,5.52%,0.10%,3.88%,5.71%,7.50%,10.22%,1.82%,2.76%,18.37%,0.13%,3.34%,3.53%,4.75%,0.08%,0.16%,0.44%,7.29%,5.50%,0.00%,3.44%,2.63%
Q23*,德明,12047,61.20%,882.131532696644,438.131847725163,11.7356744926383,327.620912919485,465.515088207985,511.479813304152,649.373988592652,106.599043308131,172.123225892028,609.277100742804,9.77972874386524,185.814846133439,303.171591059822,361.849963523014,4.88986437193262,19.5594574877305,32.2731048547553,551.576701153999,453.779413715347,1.95594574877305,1043.49705697042,155.497687027457,7297.63358867224,75.3039113277623,54.17%,32.12%,13.71%,12.09%,6.00%,0.16%,4.49%,6.38%,7.01%,8.90%,1.46%,2.36%,8.35%,0.13%,2.55%,4.15%,4.96%,0.07%,0.27%,0.44%,7.56%,6.22%,0.03%,14.30%,2.13%
Q24,尚德,12529,50.29%,302,155,8,371,458,368,483,28,135,719,15,96,1087,286,6,17,28,513,923,4,136,79,6217,84,59.72%,34.84%,5.44%,4.86%,2.49%,0.13%,5.97%,7.37%,5.92%,7.77%,0.45%,2.17%,11.57%,0.24%,1.54%,17.48%,4.60%,0.10%,0.27%,0.45%,8.25%,14.85%,0.06%,2.19%,1.27%
Q25,廣明,11560,58.76%,520,357,7,257,387,429,625,62,225,1754,4,138,376,276,3,13,20,470,545,1,148,94,6711,82,53.42%,37.80%,8.78%,7.75%,5.32%,0.10%,3.83%,5.77%,6.39%,9.31%,0.92%,3.35%,26.14%,0.06%,2.06%,5.60%,4.11%,0.04%,0.19%,0.30%,7.00%,8.12%,0.01%,2.21%,1.40%
Q26*,環保北,6777,75.23%,1502.59343362664,222.170498628063,5.6558804049579,173.785220929132,230.858737818147,391.152805374208,479.243920900747,82.802914182988,93.8058472892421,524.985050619737,2.51764594569023,152.470527012962,101.085249314032,231.038130381304,1,12.5882297284511,10.7264641877188,386.543949285647,219.967546598543,0,161.544043901978,98.9470148547639,5085.48311098495,12.9676412148737,48.00%,20.71%,31.29%,29.55%,4.37%,0.11%,3.42%,4.54%,7.69%,9.42%,1.63%,1.84%,10.32%,0.05%,3.00%,1.99%,4.54%,0.02%,0.25%,0.21%,7.60%,4.33%,0.00%,3.18%,1.95%
Q27*,環保南,6559,74.43%,1525.40656637336,199.829501371937,4.3441195950421,163.214779070868,191.141262181853,302.847194625792,438.756079099253,60.197085817012,78.1941527107579,543.014949380263,2.48235405430977,136.529472987038,99.9147506859684,233.961869618696,0,12.4117702715489,14.2735358122812,375.456050714353,224.032453401457,0,164.455956098023,98.0529851452361,4868.51688901505,13.0323587851263,45.60%,21.75%,32.66%,31.33%,4.10%,0.09%,3.35%,3.93%,6.22%,9.01%,1.24%,1.61%,11.15%,0.05%,2.80%,2.05%,4.81%,0.00%,0.25%,0.29%,7.71%,4.60%,0.00%,3.38%,2.01%
R01,沙田市中心,9651,68.09%,308,749,8,250,423,653,660,174,221,729,13,345,167,282,6,15,24,509,406,1,342,249,6534,37,63.80%,28.70%,7.50%,4.71%,11.46%,0.12%,3.83%,6.47%,9.99%,10.10%,2.66%,3.38%,11.16%,0.20%,5.28%,2.56%,4.32%,0.09%,0.23%,0.37%,7.79%,6.21%,0.02%,5.23%,3.81%
R02,瀝源,7988,53.41%,166,211,6,209,354,322,326,43,115,447,56,148,228,137,6,20,36,383,235,3,601,144,4196,70,55.17%,39.70%,5.12%,3.96%,5.03%,0.14%,4.98%,8.44%,7.67%,7.77%,1.02%,2.74%,10.65%,1.33%,3.53%,5.43%,3.27%,0.14%,0.48%,0.86%,9.13%,5.60%,0.07%,14.32%,3.43%
R03,禾輋邨,11499,50.40%,145,374,3,240,440,458,506,35,134,1075,151,147,413,168,9,24,74,547,406,4,176,158,5687,108,58.04%,38.74%,3.22%,2.55%,6.58%,0.05%,4.22%,7.74%,8.05%,8.90%,0.62%,2.36%,18.90%,2.66%,2.58%,7.26%,2.95%,0.16%,0.42%,1.30%,9.62%,7.14%,0.07%,3.09%,2.78%
R04,第一城,9083,73.52%,328,542,4,247,345,838,862,280,207,501,12,333,148,285,2,22,22,599,338,3,564,155,6637,41,64.61%,26.17%,9.22%,4.94%,8.17%,0.06%,3.72%,5.20%,12.63%,12.99%,4.22%,3.12%,7.55%,0.18%,5.02%,2.23%,4.29%,0.03%,0.33%,0.33%,9.03%,5.09%,0.05%,8.50%,2.34%
