號碼,選區,選民人數,投票率,方國珊,林卓廷,廖添誠,陳雲根,梁國雄,張超雄,楊岳橋,麥嘉晉,鄭家富,葛珮帆,侯志強,李梓敬,鄧家彪,范國威,陳玉娥,黃琛喻,李偲嫣,陳志全,梁頌恆,梁金成,容海恩,陳克勤,總有效,無效,非建制,建制,其他,方國珊%,林卓廷%,廖添誠%,陳雲根%,梁國雄%,張超雄%,楊岳橋%,麥嘉晉%,鄭家富%,葛珮帆%,侯志強%,李梓敬%,鄧家彪%,范國威%,陳玉娥%,黃琛喻%,李偲嫣%,陳志全%,梁頌恆%,梁金成%,容海恩%,陳克勤%
R25,錦濤,12285,63.91%,250,521,11,266,476,1009,680,111,222,1820,7,306,236,262,6,33,23,583,539,3,207,220,7791,60,58.97%,36.26%,4.77%,3.21%,6.69%,0.14%,3.41%,6.11%,12.95%,8.73%,1.42%,2.85%,23.36%,0.09%,3.93%,3.03%,3.36%,0.08%,0.42%,0.30%,7.48%,6.92%,0.04%,2.66%,2.82%
R26,馬鞍山市中心,9438,69.77%,262,441,18,222,357,846,704,243,212,769,5,464,215,285,5,17,27,550,317,1,352,234,6546,39,60.37%,31.64%,7.99%,4.00%,6.74%,0.27%,3.39%,5.45%,12.92%,10.75%,3.71%,3.24%,11.75%,0.08%,7.09%,3.28%,4.35%,0.08%,0.26%,0.41%,8.40%,4.84%,0.02%,5.38%,3.57%
R27*,利安,10414,61.25%,175.480510995823,444.380424490109,8.23156035073052,246.443239742561,356.817200766395,615.981373491774,582.565720940777,95.3402642870405,180.56273591589,934.635213807104,11.021719618064,326.057601221183,252.512968646509,230.517022340223,5.21902049208886,10.9968323924027,35.0073080890248,654.659560971591,552.05257173395,0.625074765839125,411.760597583789,168.42189082941,6299.29041347228,79.1683707719229,61.52%,34.05%,4.43%,2.79%,7.05%,0.13%,3.91%,5.66%,9.78%,9.25%,1.51%,2.87%,14.84%,0.17%,5.18%,4.01%,3.66%,0.08%,0.17%,0.56%,10.39%,8.76%,0.01%,6.54%,2.67%
R28*,富龍,11678,65.00%,212.044022826651,698.447046616764,20.7716593789372,265.704142888905,409.374786926555,739.990365374639,703.639961461499,167.038760838954,236.277625435411,696.716075001853,12.11680130438,409.374786926555,261.376713851627,285.610316460387,6.05840065219002,19.0406877640258,32.0229748758616,639.594011709776,479.479137330468,0.865485807455718,1019.54228118284,209.447565404284,7524.53361002002,65.7769213666346,59.51%,35.17%,5.31%,2.82%,9.28%,0.28%,3.53%,5.44%,9.83%,9.35%,2.22%,3.14%,9.26%,0.16%,5.44%,3.47%,3.80%,0.08%,0.25%,0.43%,8.50%,6.37%,0.01%,13.55%,2.78%
R29*,烏溪沙,6522,71.38%,170.475466177526,362.172528893127,7.99678027033228,200.852617368534,290.80801230705,502.028261133588,474.794317597723,92.6209748740055,147.159638648699,666.648711191043,7.861479077556,232.567611852262,180.110317501864,187.87266119939,3.72257885572112,8.96247984357152,24.9697170351136,396.746427318635,243.468290935583,0.509439426705158,293.697121233371,120.130543766306,4616.17597650771,39.0547078614425,60.99%,33.14%,5.87%,3.69%,7.85%,0.17%,4.35%,6.30%,10.88%,10.29%,2.01%,3.19%,14.44%,0.17%,5.04%,3.90%,4.07%,0.08%,0.19%,0.54%,8.59%,5.27%,0.01%,6.36%,2.60%
R30,錦英,10778,67.06%,231,577,18,269,388,742,752,143,220,1144,9,321,288,252,4,31,41,634,466,1,431,198,7160,68,60.50%,34.02%,5.47%,3.23%,8.06%,0.25%,3.76%,5.42%,10.36%,10.50%,2.00%,3.07%,15.98%,0.13%,4.48%,4.02%,3.52%,0.06%,0.43%,0.57%,8.85%,6.51%,0.01%,6.02%,2.77%
R31,耀安,13496,56.97%,233,541,15,334,533,875,693,70,193,1490,8,187,328,238,4,14,30,731,558,2,197,262,7536,152,62.53%,33.25%,4.22%,3.09%,7.18%,0.20%,4.43%,7.07%,11.61%,9.20%,0.93%,2.56%,19.77%,0.11%,2.48%,4.35%,3.16%,0.05%,0.19%,0.40%,9.70%,7.40%,0.03%,2.61%,3.48%
R32,恒安,15396,54.66%,247,878,11,316,626,854,713,88,245,942,7,220,944,279,6,28,36,749,496,2,282,319,8288,128,62.57%,33.25%,4.17%,2.98%,10.59%,0.13%,3.81%,7.55%,10.30%,8.60%,1.06%,2.96%,11.37%,0.08%,2.65%,11.39%,3.37%,0.07%,0.34%,0.43%,9.04%,5.98%,0.02%,3.40%,3.85%
R33*,鞍泰,12129,67.55%,242.913704155333,588.651346027577,6.0054403902073,313.759403433074,486.624144076541,969.18028327549,876.925335334396,138.834818497327,291.520776662602,1710.10561860989,15.4092486633524,396.160491511115,174.499015101773,357.729481286934,2.00272019510365,21.6125128974768,24.214145014539,677.046993715411,401.824688115561,0.20054403902073,255.556139198949,180.263108526405,8131.03995872808,62.634274458306,61.31%,33.92%,4.77%,2.99%,7.24%,0.07%,3.86%,5.98%,11.92%,10.78%,1.71%,3.59%,21.03%,0.19%,4.87%,2.15%,4.40%,0.02%,0.27%,0.30%,8.33%,4.94%,0.00%,3.14%,2.22%
R34*,大水坑,11229,57.85%,208.086295844668,446.348653972423,8.9945596097927,277.240596566926,410.375855923459,674.81971672451,576.074664665604,61.1651815026733,206.479223337398,1412.89438139011,15.5907513366476,263.839508488885,293.500984898227,244.270518713066,6.99727980489635,27.3874871025232,26.785854985461,449.953006284589,420.175311884439,1.79945596097927,279.443860801051,113.736891473595,6425.96004127192,70.365725541694,58.12%,37.55%,4.33%,3.24%,6.95%,0.14%,4.31%,6.39%,10.50%,8.96%,0.95%,3.21%,21.99%,0.24%,4.11%,4.57%,3.80%,0.11%,0.43%,0.42%,7.00%,6.54%,0.03%,4.35%,1.77%
R35,愉欣,9838,64.71%,228,396,11,283,379,685,696,120,239,464,37,246,173,293,5,23,26,544,295,1,964,212,6320,46,60.66%,33.66%,5.68%,3.61%,6.27%,0.17%,4.48%,6.00%,10.84%,11.01%,1.90%,3.78%,7.34%,0.59%,3.89%,2.74%,4.64%,0.08%,0.36%,0.41%,8.61%,4.67%,0.02%,15.25%,3.35%
R36,碧湖,8817,70.06%,255,522,9,203,342,615,609,128,188,1308,11,289,166,257,2,19,26,480,289,0,260,154,6132,45,57.47%,36.14%,6.39%,4.16%,8.51%,0.15%,3.31%,5.58%,10.03%,9.93%,2.09%,3.07%,21.33%,0.18%,4.71%,2.71%,4.19%,0.03%,0.31%,0.42%,7.83%,4.71%,0.00%,4.24%,2.51%
R37,廣康,10493,65.17%,211,466,12,282,395,814,763,146,210,1085,55,256,193,231,6,20,22,461,388,2,622,154,6794,44,59.35%,35.22%,5.43%,3.11%,6.86%,0.18%,4.15%,5.81%,11.98%,11.23%,2.15%,3.09%,15.97%,0.81%,3.77%,2.84%,3.40%,0.09%,0.29%,0.32%,6.79%,5.71%,0.03%,9.16%,2.27%
R38,廣源,9210,56.28%,136,229,8,233,393,564,456,29,124,394,22,113,222,133,5,18,12,481,369,1,946,173,5061,122,59.30%,37.29%,3.42%,2.69%,4.52%,0.16%,4.60%,7.77%,11.14%,9.01%,0.57%,2.45%,7.79%,0.43%,2.23%,4.39%,2.63%,0.10%,0.36%,0.24%,9.50%,7.29%,0.02%,18.69%,3.42%
Misplaced,入錯票箱,-,-,6,3,1,1,4,8,4,2,3,3,0,2,5,2,0,2,0,3,0,0,4,4,57,-57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
