號碼,選區,選民人數,投票率,劉志成,劉志成%,黃成智,黃成智%,周浩鼎,周浩鼎%,梁思豪,梁思豪%,方國珊,方國珊%,梁天琦,梁天琦%,楊岳橋,楊岳橋%,總有效票,無效,得票率差
R28*,富龍,11454,50.49%,31,0.54%,265,4.60%,1860,32.26%,25,0.43%,353,6.12%,810,14.05%,2422,42.00%,5766,17,9.75%
R29*,烏溪沙,5424,57.06%,19,0.62%,202,6.54%,961,31.13%,11,0.36%,156,5.05%,354,11.47%,1384,44.83%,3087,8,13.70%
R30,錦英,10532,52.37%,52,0.95%,266,4.84%,1784,32.43%,35,0.64%,344,6.25%,800,14.54%,2220,40.36%,5501,15,7.93%
R31,耀安,13210,43.59%,32,0.56%,157,2.74%,2064,35.96%,30,0.52%,223,3.89%,1088,18.95%,2146,37.39%,5740,18,1.43%
R32,恆安,15295,41.78%,44,0.69%,251,3.94%,2209,34.68%,35,0.55%,296,4.65%,1000,15.70%,2534,39.79%,6369,22,5.10%
R33,鞍泰,11731,52.54%,39,0.64%,298,4.86%,2145,34.99%,33,0.54%,297,4.84%,698,11.38%,2621,42.75%,6131,32,7.76%
R34,大水坑,10854,45.82%,41,0.83%,209,4.22%,1684,34.02%,25,0.51%,321,6.48%,775,15.66%,1895,38.28%,4950,23,4.26%
R35,愉欣,9484,48.13%,27,0.59%,197,4.34%,1412,31.11%,30,0.66%,266,5.86%,633,13.95%,1974,43.49%,4539,26,12.38%
R36,碧湖,8327,56.78%,20,0.42%,260,5.51%,1695,35.93%,19,0.40%,232,4.92%,482,10.22%,2009,42.59%,4717,11,6.66%
R37,廣康,10161,50.75%,24,0.47%,264,5.13%,1757,34.13%,30,0.58%,254,4.93%,632,12.28%,2187,42.48%,5148,9,8.35%
R38,廣源,8972,41.62%,27,0.72%,115,3.09%,1311,35.18%,19,0.51%,169,4.53%,716,19.21%,1370,36.76%,3727,7,1.58%
